from,to,references
1418130340,1406133572,1
1192246722,1406133572,1
1308954936,1406133572,8
1603432390,1406133572,1
1408165010,1406133572,1
1573102991,1406133572,5
1543164824,1406133572,1
1293696205,1406133572,1
1540123102,1406133572,2
1302984491,1406133572,2
1159889419,1406133572,3
1263639526,1406133572,1
1272672830,1406133572,1
1454657736,1570117008,1
1451350009,1570117008,1
1570117008,1570117008,1
1381055875,1570117008,2
1619667093,1570117008,1
1759155377,1570117008,1
1271203320,1570117008,24
1737788482,1531245360,1
1293445778,1531245360,1
1851441463,1531245360,1
1718843636,1531245360,2
1291846215,1531245360,4
1451350009,1531245360,17
1381055875,1531245360,11
1781115595,1531245360,1
1232052560,1531245360,4
1478154831,1531245360,7
1720389407,1531245360,1
1610133347,1531245360,2
1576082206,1531245360,2
1220016457,1531245360,2
1391578486,1531245360,1
1601727820,1531245360,2
1357169825,1531245360,1
1455227024,1531245360,10
1795647281,1531245360,1
1784497505,1531245360,1
1629308005,1531245360,1
1319860476,1531245360,1
1674708431,1531245360,15
1171570914,1531245360,1
1795265206,1531245360,7
1192193228,1531245360,1
1882870017,1531245360,2
1435609646,1531245360,3
1454657736,1531245360,1
1422276980,1531245360,1
1646496672,1531245360,1
1581859855,1531245360,1
1570117008,1531245360,5
1780320122,1531245360,2
1263639526,1531245360,8
1876989536,1531245360,1
1540638491,1531245360,3
1178989752,1531245360,9
1733306194,1531245360,1
1326329344,1531245360,1
1408548985,1531245360,1
1672533217,1531245360,2
1578821647,1531245360,1
1483299455,1531245360,1
1425084649,1531245360,5
1178989752,1724259891,2
1528501977,1724259891,1
1455227024,1724259891,3
1734207792,1724259891,1
1232052560,1724259891,1
1605572695,1724259891,1
1758294908,1724259891,8
1383517302,1724259891,1
1724259891,1724259891,13
1291846215,1724259891,3
1649886663,1724259891,1
1540638491,1724259891,1
